sample	file_mate1	file_mate2	file_singles	group
SRR6159233	/mnt/DATA/arielle/crc/raw_data/PRJNA413956/fastq/SRR6159233_1.fastq.gz	/mnt/DATA/arielle/crc/raw_data/PRJNA413956/fastq/SRR6159233_2.fastq.gz		coloncancer
SRR6159234	/mnt/DATA/arielle/crc/raw_data/PRJNA413956/fastq/SRR6159234_1.fastq.gz	/mnt/DATA/arielle/crc/raw_data/PRJNA413956/fastq/SRR6159234_2.fastq.gz		normal
SRR6191641	/mnt/DATA/arielle/crc/raw_data/PRJNA413956/fastq/SRR6191641_1.fastq.gz	/mnt/DATA/arielle/crc/raw_data/PRJNA413956/fastq/SRR6191641_2.fastq.gz		coloncancer
SRR6191642	/mnt/DATA/arielle/crc/raw_data/PRJNA413956/fastq/SRR6191642_1.fastq.gz	/mnt/DATA/arielle/crc/raw_data/PRJNA413956/fastq/SRR6191642_2.fastq.gz		normal
SRR6191643	/mnt/DATA/arielle/crc/raw_data/PRJNA413956/fastq/SRR6191643_1.fastq.gz	/mnt/DATA/arielle/crc/raw_data/PRJNA413956/fastq/SRR6191643_2.fastq.gz		coloncancer
SRR6191644	/mnt/DATA/arielle/crc/raw_data/PRJNA413956/fastq/SRR6191644_1.fastq.gz	/mnt/DATA/arielle/crc/raw_data/PRJNA413956/fastq/SRR6191644_2.fastq.gz		normal
SRR6191645	/mnt/DATA/arielle/crc/raw_data/PRJNA413956/fastq/SRR6191645_1.fastq.gz	/mnt/DATA/arielle/crc/raw_data/PRJNA413956/fastq/SRR6191645_2.fastq.gz		coloncancer
SRR6191646	/mnt/DATA/arielle/crc/raw_data/PRJNA413956/fastq/SRR6191646_1.fastq.gz	/mnt/DATA/arielle/crc/raw_data/PRJNA413956/fastq/SRR6191646_2.fastq.gz		normal
SRR6191647	/mnt/DATA/arielle/crc/raw_data/PRJNA413956/fastq/SRR6191647_1.fastq.gz	/mnt/DATA/arielle/crc/raw_data/PRJNA413956/fastq/SRR6191647_2.fastq.gz		coloncancer
SRR6191648	/mnt/DATA/arielle/crc/raw_data/PRJNA413956/fastq/SRR6191648_1.fastq.gz	/mnt/DATA/arielle/crc/raw_data/PRJNA413956/fastq/SRR6191648_2.fastq.gz		normal
SRR6191649	/mnt/DATA/arielle/crc/raw_data/PRJNA413956/fastq/SRR6191649_1.fastq.gz	/mnt/DATA/arielle/crc/raw_data/PRJNA413956/fastq/SRR6191649_2.fastq.gz		coloncancer
SRR6191650	/mnt/DATA/arielle/crc/raw_data/PRJNA413956/fastq/SRR6191650_1.fastq.gz	/mnt/DATA/arielle/crc/raw_data/PRJNA413956/fastq/SRR6191650_2.fastq.gz		normal
SRR6191651	/mnt/DATA/arielle/crc/raw_data/PRJNA413956/fastq/SRR6191651_1.fastq.gz	/mnt/DATA/arielle/crc/raw_data/PRJNA413956/fastq/SRR6191651_2.fastq.gz		coloncancer
SRR6191652	/mnt/DATA/arielle/crc/raw_data/PRJNA413956/fastq/SRR6191652_1.fastq.gz	/mnt/DATA/arielle/crc/raw_data/PRJNA413956/fastq/SRR6191652_2.fastq.gz		normal
SRR6191653	/mnt/DATA/arielle/crc/raw_data/PRJNA413956/fastq/SRR6191653_1.fastq.gz	/mnt/DATA/arielle/crc/raw_data/PRJNA413956/fastq/SRR6191653_2.fastq.gz		coloncancer
SRR6191654	/mnt/DATA/arielle/crc/raw_data/PRJNA413956/fastq/SRR6191654_1.fastq.gz	/mnt/DATA/arielle/crc/raw_data/PRJNA413956/fastq/SRR6191654_2.fastq.gz		normal
SRR6191655	/mnt/DATA/arielle/crc/raw_data/PRJNA413956/fastq/SRR6191655_1.fastq.gz	/mnt/DATA/arielle/crc/raw_data/PRJNA413956/fastq/SRR6191655_2.fastq.gz		coloncancer
SRR6191656	/mnt/DATA/arielle/crc/raw_data/PRJNA413956/fastq/SRR6191656_1.fastq.gz	/mnt/DATA/arielle/crc/raw_data/PRJNA413956/fastq/SRR6191656_2.fastq.gz		normal
SRR6191657	/mnt/DATA/arielle/crc/raw_data/PRJNA413956/fastq/SRR6191657_1.fastq.gz	/mnt/DATA/arielle/crc/raw_data/PRJNA413956/fastq/SRR6191657_2.fastq.gz		coloncancer
SRR6191658	/mnt/DATA/arielle/crc/raw_data/PRJNA413956/fastq/SRR6191658_1.fastq.gz	/mnt/DATA/arielle/crc/raw_data/PRJNA413956/fastq/SRR6191658_2.fastq.gz		normal
